file,has_covid,dcm_file
../data/COVID-19_Radiography_Dataset/COVID/COVID-1.png,1,../data/dicom_xray/covid/covidchest_0.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-1175.png,1,../data/dicom_xray/covid/covidchest_1.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-1613.png,1,../data/dicom_xray/covid/covidchest_2.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-948.png,1,../data/dicom_xray/covid/covidchest_3.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-790.png,1,../data/dicom_xray/covid/covidchest_4.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-3004.png,1,../data/dicom_xray/covid/covidchest_5.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-3010.png,1,../data/dicom_xray/covid/covidchest_6.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-1607.png,1,../data/dicom_xray/covid/covidchest_7.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-784.png,1,../data/dicom_xray/covid/covidchest_8.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-1161.png,1,../data/dicom_xray/covid/covidchest_9.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-2468.png,1,../data/dicom_xray/covid/covidchest_10.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-1149.png,1,../data/dicom_xray/covid/covidchest_11.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-2440.png,1,../data/dicom_xray/covid/covidchest_12.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-3038.png,1,../data/dicom_xray/covid/covidchest_13.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-2326.png,1,../data/dicom_xray/covid/covidchest_14.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-974.png,1,../data/dicom_xray/covid/covidchest_15.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-960.png,1,../data/dicom_xray/covid/covidchest_16.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-2332.png,1,../data/dicom_xray/covid/covidchest_17.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-2454.png,1,../data/dicom_xray/covid/covidchest_18.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-753.png,1,../data/dicom_xray/covid/covidchest_19.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-1808.png,1,../data/dicom_xray/covid/covidchest_20.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-747.png,1,../data/dicom_xray/covid/covidchest_21.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-2483.png,1,../data/dicom_xray/covid/covidchest_22.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-1834.png,1,../data/dicom_xray/covid/covidchest_23.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-1820.png,1,../data/dicom_xray/covid/covidchest_24.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-2497.png,1,../data/dicom_xray/covid/covidchest_25.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-2118.png,1,../data/dicom_xray/covid/covidchest_26.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-3206.png,1,../data/dicom_xray/covid/covidchest_27.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-592.png,1,../data/dicom_xray/covid/covidchest_28.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-1411.png,1,../data/dicom_xray/covid/covidchest_29.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-1377.png,1,../data/dicom_xray/covid/covidchest_30.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-3560.png,1,../data/dicom_xray/covid/covidchest_31.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-3574.png,1,../data/dicom_xray/covid/covidchest_32.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-1363.png,1,../data/dicom_xray/covid/covidchest_33.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-586.png,1,../data/dicom_xray/covid/covidchest_34.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-1405.png,1,../data/dicom_xray/covid/covidchest_35.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-3212.png,1,../data/dicom_xray/covid/covidchest_36.dcm
../data/COVID-19_Radiography_Dataset/COVID/COVID-2124.png,1,../data/dicom_xray/covid/covidchest_37.dcm
